0.9994827586,0.9914827586,4.2928135253,,198.6111111111,1,4.4
0.9767241379,0.9687241379,4.2542785403,,180.1678917194,0.9071390352,4.2493152017
0.9482758621,0.9402758621,4.211449615,,174.4402963126,0.8783007926,4.2040717929
0.9160344828,0.9080344828,4.1728778038,,168.7127009058,0.84946255,4.1614006337
0.8875862069,0.8795862069,4.1343207231,,162.985105499,0.8206243074,4.1205433014
0.8648275862,0.8568275862,4.1000575829,,157.2575100938,0.7917860648,4.0812964503
0.8344827586,0.8264827586,4.0700368262,,151.5299146869,0.7629478222,4.0432590181
0.8060344828,0.7980344828,4.0272079009,,145.8023192801,0.7341095796,4.0062505947
0.7794827586,0.7714827586,4.0014737195,,140.0747238733,0.705271337,3.9700642224
0.7529310345,0.7449310345,3.975739538,,134.3471284665,0.6764330944,3.9354199201
0.7339655172,0.7259655172,3.9500348175,,128.6195330597,0.6475948518,3.9024199959
0.7036206897,0.6956206897,3.9242859056,,122.8919376544,0.6187566092,3.8702950289
0.6732758621,0.6652758621,3.8985369936,,117.1643422476,0.5899183666,3.8419558332
0.6524137931,0.6444137931,3.8770967526,,111.4367468408,0.561080124,3.8214495454
0.6296551724,0.6216551724,3.859920991,,105.709151434,0.5322418813,3.8049399183
0.605,0.597,3.8470097087,,99.9815560272,0.5034036387,3.7913940494
0.5803448276,0.5723448276,3.8298265819,,94.2539606204,0.4745653961,3.7776771118
0.5613793103,0.5533793103,3.8169373954,,88.5263652136,0.4457271535,3.7657555959
0.5405172414,0.5325172414,3.8040408437,,82.7987698083,0.4168889109,3.7549695437
0.5139655172,0.5059655172,3.7953940408,,77.0711744015,0.3880506683,3.7448024559
0.4893103448,0.4813103448,3.7824827586,,71.3435789947,0.3592124257,3.7344592633
0.4627586207,0.4547586207,3.7695641111,,65.6159835879,0.3303741831,3.7225047315
0.4286206897,0.4206206897,3.765159692,,59.8883881811,0.3015359405,3.712
0.4039655172,0.3959655172,3.7522484098,,54.1607927743,0.2726976979,3.702
0.3698275862,0.3618275862,3.743572146,,48.4331973675,0.2438594553,3.69
0.3318965517,0.3238965517,3.730609307,,42.7056019622,0.2150212127,3.68
0.2939655172,0.2859655172,3.7219183127,,31.2504111486,0.1573447275,3.655
0.2503448276,0.2423448276,3.7046615333,,25.5228157418,0.1285064849,3.6372704326
0.2105172414,0.2025172414,3.6916913291,,19.795220335,0.0996682422,3.6197772149
0.1839655172,0.1759655172,3.6787726816,,14.0676249282,0.0708299996,3.6
0.1631034483,0.1551034483,3.6658761299,,12.2222222222,0.0615384615,3.59
0.1270689655,0.1190689655,3.6486488115,,9.1666666667,0.0461538462,3.575
0.0948275862,0.0868275862,3.627164379,,6.1111111111,0.0307692308,3.555
0.0606896552,0.0526896552,3.5928570472,,3.0555555556,0.0153846154,3.49
0.0360344828,0.0280344828,3.5457710077,,0,0,3
0.0284482759,0.0204482759,3.5030231001,,,,
0.020862069,0.012862069,3.4303722799,,,,
0.0170689655,0.0090689655,3.3577361902,,,0.008,
0.0132758621,0.0052758621,3.2252942752,,,.,
0.0094827586,0.0014827586,3.0971242049,,,,
0.0075862069,-0.0004137931,2.9732333445,,,,
0.0037931034,-0.0042068966,2.7681700703,,,,
0,-0.008,2.5545631068,,,,
